,X09_3N_N_C_1,X09_6N_N_C_1,X09_19N_N_C_1,X09_23N_N_C_1,X09_9N_N_C_2,X09_12N_N_C_2,X09_14N_N_C_2,X09_17N_N_C_2,X10_3N_N_N_1,X10_6N_N_N_1,X10_19N_N_N_1,X10_23N_N_N_1,X10_9N_N_N_2,X10_12N_N_N_2,X10_14N_N_N_2,X10_17N_N_N_2,X11_3N_N_N_1,X11_6N_N_N_1,X11_19N_N_N_1,X11_23N_N_N_1,X11_9N_N_N_2,X11_12N_N_N_2,X11_14N_N_N_2,X11_17N_N_N_2,X12_3N_N_N_1,X12_6N_N_N_1,X12_19N_N_N_1,X12_23N_N_N_1,X12_9N_N_N_2,X12_12N_N_N_2,X12_14N_N_N_2,X12_17N_N_N_2,X13_3N_N_N_1,X13_6N_N_N_1,X13_19N_N_N_1,X13_23N_N_N_1,X13_9N_N_N_2,X13_12N_N_N_2,X13_14N_N_N_2,X13_17N_N_N_2,X14_3N_N_N_1,X14_6N_N_N_1,X14_19N_N_N_1,X14_23N_N_N_1,X14_9N_N_N_2,X14_12N_N_N_2,X14_14N_N_N_2,X14_17N_N_N_2,X15_3N_N_N_1,X15_6N_N_N_1,X15_19N_N_N_1,X15_23N_N_N_1,X15_9N_N_N_2,X15_12N_N_N_2,X15_14N_N_N_2,X15_17N_N_N_2,X16_3N_N_N_1,X16_6N_N_N_1,X16_19N_N_N_1,X16_23N_N_N_1,X16_9N_N_N_2,X16_12N_N_N_2,X16_14N_N_N_2,X16_17N_N_N_2,Phylum,Taxa
OTU1,62,72,122,74,153,126,217,264,115,104,160,78,60,311,135,284,427,1846,72,999,348,225,277,121,170,160,78,263,175,172,1728,386,30,66,74,112,10,16,0,162,23,19,22,2,259,31,139,18,15,45,81,16,71,28,85,104,117,459,138,25,101,250,34,49,Ascomycota,Ascomycota
OTU10,37,55,109,100,75,77,99,162,35,59,565,111,54,87,80,146,43,39,5,22,50,44,26,10,113,76,34,111,88,56,1994,214,32,39,467,104,14,36,1,290,15,9,48,4,77,15,143,15,56,105,187,112,17,20,37,28,8,93,12,2,9,17,5,5,Ascomycota,Ascomycota
OTU100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1000,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,Ascomycota,Ascomycota
OTU1001,0,3,10,0,1,4,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zygomycota,Zygomycota
OTU1002,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Basidiomycota,Basidiomycota
OTU1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,unclassified,Others
OTU1004,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,6,0,Basidiomycota,Basidiomycota
OTU1005,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,Ascomycota,Ascomycota
