Sample,block,plot,Year,year,Precipitation,precip,precipitation_Oct_cm,precipitation_annual_cm,SPEI,moisture_samplingmonth,annual_moisture,pH,temperature_annual,NO3.N,NH4.N,TN,TOC,FlTotl,FlC4,FlC3,plant.richness,ER,GPP,NEE,Autotrophic,Heterotrophic,total_soil_respiration,litter,Mass loss
X09_3N_N_C_1,B1,N03,Y09,2009,Control,0,16.3,101.16,0.0904,4.87,7.322,7.01,15.91431707,0.53,2.78,0.099,0.827,290.9,39.14,251.76,5,7.195489438,10.58315305,3.38766361,NA,NA,NA,,
X09_6N_N_C_1,B2,N06,Y09,2009,Control,0,16.3,101.16,0.0904,5.92,7.252,6.57,18.24640216,0.6,3.31,0.112,1.08,493.06,77.35,415.71,6,4.824389096,7.235415029,2.411025933,NA,NA,NA,,
X09_19N_N_C_1,B3,N19,Y09,2009,Control,0,16.3,101.16,0.0904,5.37,5.816,6.65,16.14164864,0.7,2.84,0.086,0.857,534.6,105.42,429.18,3,10.60208406,12.74698845,2.144904394,NA,NA,NA,,
X09_23N_N_C_1,B4,N23,Y09,2009,Control,0,16.3,101.16,0.0904,7.06,6.388,6.34,16.7993735,0.97,4.4,0.141,1.528,517.8,12.96,504.84,5,8.083961864,10.99244958,2.908487714,NA,NA,NA,,
X09_9N_N_C_2,B1,N09,Y09,2009,Wet,1,16.3,101.16,0.0904,8.92,7.75,6.75,16.30203333,0.55,2.99,0.102,0.885,595.13,318.29,276.84,7,8.652555121,12.53923853,3.886683405,NA,NA,NA,,
X09_12N_N_C_2,B2,N12,Y09,2009,Wet,1,16.3,101.16,0.0904,4.93,6.708,6.6,24.00198173,1.26,2.99,0.107,1.01,342.65,83.73,258.92,5,9.291400446,11.85034668,2.558946234,NA,NA,NA,,
X09_14N_N_C_2,B3,N14,Y09,2009,Wet,1,16.3,101.16,0.0904,5.26,7.344,6.24,16.14122084,1.31,4.35,0.135,1.381,273.78,91.59,182.19,8,7.42714462,10.32138518,2.894240559,NA,NA,NA,,
X09_17N_N_C_2,B4,N17,Y09,2009,Wet,1,16.3,101.16,0.0904,5.99,6.492,6.82,16.80954103,0.87,4.26,0.109,1.146,120,84.23,35.77,6,8.657540529,12.92486092,4.267320388,NA,NA,NA,,
X10_3N_N_N_1,B1,N03,Y10,2010,Control,0,7.8,90.07,-0.3865,7.15,9.745714286,6.38,15.82261826,2.2,3.68,0.073,0.712,464,174,290,6,4.639439963,5.71484349,1.075403527,1.3325,1.9375,3.27,,
X10_6N_N_N_1,B2,N06,Y10,2010,Control,0,7.8,90.07,-0.3865,6.88,9.189285714,6.2,16.27367226,7.19,2.37,0.065,0.483,531,68,462,4,4.314427801,5.964107425,1.649679624,1.4125,1.6,3.0125,,
X10_19N_N_N_1,B3,N19,Y10,2010,Control,0,7.8,90.07,-0.3865,6.77,7.332857143,6.37,16.3720066,1.84,2.57,0.08,0.735,626,132,494,7,3.679079873,4.210570452,0.531490579,0.69,2.205833333,2.895833333,,
X10_23N_N_N_1,B4,N23,Y10,2010,Control,0,7.8,90.07,-0.3865,6.17,7.773571429,6.63,16.1802696,0.85,4.64,0.093,1.008,626,68,558,1,3.873619761,5.26221487,1.388595109,1.470833333,2.280833333,3.751666667,,
X10_9N_N_N_2,B1,N09,Y10,2010,Wet,1,7.8,90.07,-0.3865,6.73,9.086428571,6.39,16.74300425,4.42,3.23,0.092,0.688,390,63,326,5,4.647296407,6.255636044,1.608339637,0.934166667,3.204166667,4.138333333,,
X10_12N_N_N_2,B2,N12,Y10,2010,Wet,1,7.8,90.07,-0.3865,6.33,8.347857143,6.55,16.13734803,3.8,5.17,0.101,0.924,500,63,437,10,5.016476995,5.947537941,0.931060946,0.789166667,2.655,3.444166667,,
X10_14N_N_N_2,B3,N14,Y10,2010,Wet,1,7.8,90.07,-0.3865,7.12,9.591428571,6.55,16.33160187,2.12,5.73,0.087,0.848,536,74,462,7,7.273705785,8.656472352,1.382766567,0.859166667,3.063333333,3.9225,,
X10_17N_N_N_2,B4,N17,Y10,2010,Wet,1,7.8,90.07,-0.3865,6.03,9.952857143,6.66,16.13378874,0.56,2.98,0.049,0.369,536,82,454,5,3.709387908,5.283963419,1.574575511,0.679166667,2.488333333,3.1675,,
X11_3N_N_N_1,B1,N03,Y11,2011,Control,0,13.3,55.01,-2.1621,7.15,8.156153846,6.03,18.09830804,14.91,1.89,0.074,0.541,283,68,215,7,3.406908115,5.22095156,1.814043445,0.95,1.335,2.285,,
X11_6N_N_N_1,B2,N06,Y11,2011,Control,0,13.3,55.01,-2.1621,6.88,7.97,5.66,18.27392987,61.7,3.73,0.102,0.82,249,68,181,5,3.419686577,4.971760056,1.552073478,1.927222222,0.828055556,2.755277778,,
X11_19N_N_N_1,B3,N19,Y11,2011,Control,0,13.3,55.01,-2.1621,6.77,7.232307692,6.08,18.21092162,56.1,3.47,0.15,1.524,241,78,163,7,3.696627521,5.536897509,1.840269989,1.895,1.518333333,3.413333333,,
X11_23N_N_N_1,B4,N23,Y11,2011,Control,0,13.3,55.01,-2.1621,6.17,6.691538462,6.17,18.59819869,16.95,2.27,0.078,0.724,238,77,161,5,3.671418795,6.113634974,2.442216179,1.560833333,1.964166667,3.525,,
X11_9N_N_N_2,B1,N09,Y11,2011,Wet,1,13.3,55.01,-2.1621,6.73,7.723846154,5.79,18.81565754,38.32,2.68,0.098,0.851,254,66,188,4,5.095930934,7.717682803,2.621751869,0.823333333,2.068333333,2.891666667,,
